id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
hardware_aluminium_extrusion_2020_grey,,Hardware Aluminium Extrusion 2020 Grey,aluminium_extrusion,,,,,,,,
hardware_aluminium_extrusion_2020_grey_890_mm_length,,Hardware Aluminium Extrusion 2020 Grey 890 mm Length,aluminium_extrusion,890_mm_length,,,,,,,
hardware_bearing_16000_series_16001_size_12_mm_id_28_mm_od_7_mm_depth,,Hardware Bearing 16000 Series 16001 Size 12 mm ID 28 mm OD 7 mm Depth,bearing,12_mm_id_28_mm_od_7_mm_depth,,,,,,,
hardware_bearing_16000_series_16002_size_15_mm_id_32_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16002 Size 15 mm ID 32 mm OD 8 mm Depth,bearing,15_mm_id_32_mm_od_8_mm_depth,,,,,,,
hardware_bearing_16000_series_16003_size_17_mm_id_35_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16003 Size 17 mm ID 35 mm OD 8 mm Depth,bearing,17_mm_id_35_mm_od_8_mm_depth,,,,,,,
hardware_bearing_16000_series_16004_size_20_mm_id_42_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16004 Size 20 mm ID 42 mm OD 8 mm Depth,bearing,20_mm_id_42_mm_od_8_mm_depth,,,,,,,
hardware_bearing_16000_series_16005_size_25_mm_id_47_mm_od_8_mm_depth,,Hardware Bearing 16000 Series 16005 Size 25 mm ID 47 mm OD 8 mm Depth,bearing,25_mm_id_47_mm_od_8_mm_depth,,,,,,,
hardware_bearing_16000_series_16006_size_30_mm_id_55_mm_od_9_mm_depth,,Hardware Bearing 16000 Series 16006 Size 30 mm ID 55 mm OD 9 mm Depth,bearing,30_mm_id_55_mm_od_9_mm_depth,,,,,,,
hardware_bearing_16000_series_16007_size_35_mm_id_62_mm_od_9_mm_depth,,Hardware Bearing 16000 Series 16007 Size 35 mm ID 62 mm OD 9 mm Depth,bearing,35_mm_id_62_mm_od_9_mm_depth,,,,,,,
hardware_bearing_16000_series_16008_size_40_mm_id_68_mm_od_9_mm_depth,,Hardware Bearing 16000 Series 16008 Size 40 mm ID 68 mm OD 9 mm Depth,bearing,40_mm_id_68_mm_od_9_mm_depth,,,,,,,
hardware_bearing_16000_series_16009_size_45_mm_id_75_mm_od_10_mm_depth,,Hardware Bearing 16000 Series 16009 Size 45 mm ID 75 mm OD 10 mm Depth,bearing,45_mm_id_75_mm_od_10_mm_depth,,,,,,,
hardware_bearing_16000_series_16010_size_50_mm_id_80_mm_od_10_mm_depth,,Hardware Bearing 16000 Series 16010 Size 50 mm ID 80 mm OD 10 mm Depth,bearing,50_mm_id_80_mm_od_10_mm_depth,,,,,,,
hardware_bearing_16000_series_16011_size_55_mm_id_90_mm_od_11_mm_depth,,Hardware Bearing 16000 Series 16011 Size 55 mm ID 90 mm OD 11 mm Depth,bearing,55_mm_id_90_mm_od_11_mm_depth,,,,,,,
hardware_bearing_16000_series_16012_size_60_mm_id_95_mm_od_11_mm_depth,,Hardware Bearing 16000 Series 16012 Size 60 mm ID 95 mm OD 11 mm Depth,bearing,60_mm_id_95_mm_od_11_mm_depth,,,,,,,
hardware_bearing_16000_series_16013_size_65_mm_id_100_mm_od_11_mm_depth,,Hardware Bearing 16000 Series 16013 Size 65 mm ID 100 mm OD 11 mm Depth,bearing,65_mm_id_100_mm_od_11_mm_depth,,,,,,,
hardware_bearing_16000_series_16014_size_70_mm_id_110_mm_od_13_mm_depth,,Hardware Bearing 16000 Series 16014 Size 70 mm ID 110 mm OD 13 mm Depth,bearing,70_mm_id_110_mm_od_13_mm_depth,,,,,,,
hardware_bearing_16000_series_16015_size_75_mm_id_115_mm_od_13_mm_depth,,Hardware Bearing 16000 Series 16015 Size 75 mm ID 115 mm OD 13 mm Depth,bearing,75_mm_id_115_mm_od_13_mm_depth,,,,,,,
hardware_bearing_16000_series_16016_size_80_mm_id_125_mm_od_14_mm_depth,,Hardware Bearing 16000 Series 16016 Size 80 mm ID 125 mm OD 14 mm Depth,bearing,80_mm_id_125_mm_od_14_mm_depth,,,,,,,
hardware_bearing_16000_series_16017_size_85_mm_id_130_mm_od_14_mm_depth,,Hardware Bearing 16000 Series 16017 Size 85 mm ID 130 mm OD 14 mm Depth,bearing,85_mm_id_130_mm_od_14_mm_depth,,,,,,,
hardware_bearing_16000_series_16018_size_90_mm_id_140_mm_od_16_mm_depth,,Hardware Bearing 16000 Series 16018 Size 90 mm ID 140 mm OD 16 mm Depth,bearing,90_mm_id_140_mm_od_16_mm_depth,,,,,,,
hardware_bearing_16000_series_16019_size_95_mm_id_145_mm_od_16_mm_depth,,Hardware Bearing 16000 Series 16019 Size 95 mm ID 145 mm OD 16 mm Depth,bearing,95_mm_id_145_mm_od_16_mm_depth,,,,,,,
hardware_bearing_16000_series_16020_size_100_mm_id_150_mm_od_16_mm_depth,,Hardware Bearing 16000 Series 16020 Size 100 mm ID 150 mm OD 16 mm Depth,bearing,100_mm_id_150_mm_od_16_mm_depth,,,,,,,
hardware_bearing_16000_series_16021_size_105_mm_id_160_mm_od_18_mm_depth,,Hardware Bearing 16000 Series 16021 Size 105 mm ID 160 mm OD 18 mm Depth,bearing,105_mm_id_160_mm_od_18_mm_depth,,,,,,,
hardware_bearing_16000_series_16022_size_110_mm_id_170_mm_od_19_mm_depth,,Hardware Bearing 16000 Series 16022 Size 110 mm ID 170 mm OD 19 mm Depth,bearing,110_mm_id_170_mm_od_19_mm_depth,,,,,,,
hardware_bearing_5200_series_5200_size_10_mm_id_30_mm_od_14_2_mm_depth,,Hardware Bearing 5200 Series 5200 Size 10 mm ID 30 mm OD 14 2 mm Depth,bearing,10_mm_id_30_mm_od_14_2_mm_depth,,,,,,,
hardware_bearing_5200_series_5201_size_12_mm_id_32_mm_od_15_8_mm_depth,,Hardware Bearing 5200 Series 5201 Size 12 mm ID 32 mm OD 15 8 mm Depth,bearing,12_mm_id_32_mm_od_15_8_mm_depth,,,,,,,
hardware_bearing_5200_series_5202_size_15_mm_id_35_mm_od_15_8_mm_depth,,Hardware Bearing 5200 Series 5202 Size 15 mm ID 35 mm OD 15 8 mm Depth,bearing,15_mm_id_35_mm_od_15_8_mm_depth,,,,,,,
hardware_bearing_5200_series_5203_size_17_mm_id_40_mm_od_17_4_mm_depth,,Hardware Bearing 5200 Series 5203 Size 17 mm ID 40 mm OD 17 4 mm Depth,bearing,17_mm_id_40_mm_od_17_4_mm_depth,,,,,,,
hardware_bearing_5200_series_5204_size_20_mm_id_47_mm_od_20_6_mm_depth,,Hardware Bearing 5200 Series 5204 Size 20 mm ID 47 mm OD 20 6 mm Depth,bearing,20_mm_id_47_mm_od_20_6_mm_depth,,,,,,,
hardware_bearing_5200_series_5205_size_25_mm_id_52_mm_od_20_6_mm_depth,,Hardware Bearing 5200 Series 5205 Size 25 mm ID 52 mm OD 20 6 mm Depth,bearing,25_mm_id_52_mm_od_20_6_mm_depth,,,,,,,
hardware_bearing_5200_series_5206_size_30_mm_id_62_mm_od_23_8_mm_depth,,Hardware Bearing 5200 Series 5206 Size 30 mm ID 62 mm OD 23 8 mm Depth,bearing,30_mm_id_62_mm_od_23_8_mm_depth,,,,,,,
hardware_bearing_5200_series_5207_size_35_mm_id_72_mm_od_26_9_mm_depth,,Hardware Bearing 5200 Series 5207 Size 35 mm ID 72 mm OD 26 9 mm Depth,bearing,35_mm_id_72_mm_od_26_9_mm_depth,,,,,,,
hardware_bearing_5200_series_5208_size_40_mm_id_80_mm_od_30_1_mm_depth,,Hardware Bearing 5200 Series 5208 Size 40 mm ID 80 mm OD 30 1 mm Depth,bearing,40_mm_id_80_mm_od_30_1_mm_depth,,,,,,,
hardware_bearing_5200_series_5209_size_45_mm_id_85_mm_od_30_1_mm_depth,,Hardware Bearing 5200 Series 5209 Size 45 mm ID 85 mm OD 30 1 mm Depth,bearing,45_mm_id_85_mm_od_30_1_mm_depth,,,,,,,
hardware_bearing_5200_series_5210_size_50_mm_id_90_mm_od_30_1_mm_depth,,Hardware Bearing 5200 Series 5210 Size 50 mm ID 90 mm OD 30 1 mm Depth,bearing,50_mm_id_90_mm_od_30_1_mm_depth,,,,,,,
hardware_bearing_5200_series_5211_size_55_mm_id_100_mm_od_33_3_mm_depth,,Hardware Bearing 5200 Series 5211 Size 55 mm ID 100 mm OD 33 3 mm Depth,bearing,55_mm_id_100_mm_od_33_3_mm_depth,,,,,,,
hardware_bearing_5200_series_5212_size_60_mm_id_110_mm_od_36_5_mm_depth,,Hardware Bearing 5200 Series 5212 Size 60 mm ID 110 mm OD 36 5 mm Depth,bearing,60_mm_id_110_mm_od_36_5_mm_depth,,,,,,,
hardware_bearing_5200_series_5213_size_65_mm_id_120_mm_od_38_1_mm_depth,,Hardware Bearing 5200 Series 5213 Size 65 mm ID 120 mm OD 38 1 mm Depth,bearing,65_mm_id_120_mm_od_38_1_mm_depth,,,,,,,
hardware_bearing_5200_series_5214_size_70_mm_id_125_mm_od_39_6_mm_depth,,Hardware Bearing 5200 Series 5214 Size 70 mm ID 125 mm OD 39 6 mm Depth,bearing,70_mm_id_125_mm_od_39_6_mm_depth,,,,,,,
hardware_bearing_5200_series_5215_size_75_mm_id_130_mm_od_41_2_mm_depth,,Hardware Bearing 5200 Series 5215 Size 75 mm ID 130 mm OD 41 2 mm Depth,bearing,75_mm_id_130_mm_od_41_2_mm_depth,,,,,,,
hardware_bearing_5200_series_5216_size_80_mm_id_140_mm_od_44_4_mm_depth,,Hardware Bearing 5200 Series 5216 Size 80 mm ID 140 mm OD 44 4 mm Depth,bearing,80_mm_id_140_mm_od_44_4_mm_depth,,,,,,,
hardware_bearing_5300_series_5300_size_10_mm_id_35_mm_od_19_05_mm_depth,,Hardware Bearing 5300 Series 5300 Size 10 mm ID 35 mm OD 19 05 mm Depth,bearing,10_mm_id_35_mm_od_19_05_mm_depth,,,,,,,
hardware_bearing_5300_series_5301_size_12_mm_id_37_mm_od_19_05_mm_depth,,Hardware Bearing 5300 Series 5301 Size 12 mm ID 37 mm OD 19 05 mm Depth,bearing,12_mm_id_37_mm_od_19_05_mm_depth,,,,,,,
hardware_bearing_5300_series_5302_size_15_mm_id_42_mm_od_19_05_mm_depth,,Hardware Bearing 5300 Series 5302 Size 15 mm ID 42 mm OD 19 05 mm Depth,bearing,15_mm_id_42_mm_od_19_05_mm_depth,,,,,,,
hardware_bearing_5300_series_5303_size_17_mm_id_47_mm_od_22_22_mm_depth,,Hardware Bearing 5300 Series 5303 Size 17 mm ID 47 mm OD 22 22 mm Depth,bearing,17_mm_id_47_mm_od_22_22_mm_depth,,,,,,,
hardware_bearing_5300_series_5304_size_20_mm_id_52_mm_od_22_22_mm_depth,,Hardware Bearing 5300 Series 5304 Size 20 mm ID 52 mm OD 22 22 mm Depth,bearing,20_mm_id_52_mm_od_22_22_mm_depth,,,,,,,
hardware_bearing_5300_series_5305_size_25_mm_id_62_mm_od_25_4_mm_depth,,Hardware Bearing 5300 Series 5305 Size 25 mm ID 62 mm OD 25 4 mm Depth,bearing,25_mm_id_62_mm_od_25_4_mm_depth,,,,,,,
hardware_bearing_5300_series_5306_size_30_mm_id_72_mm_od_30_16_mm_depth,,Hardware Bearing 5300 Series 5306 Size 30 mm ID 72 mm OD 30 16 mm Depth,bearing,30_mm_id_72_mm_od_30_16_mm_depth,,,,,,,
hardware_bearing_5300_series_5307_size_35_mm_id_80_mm_od_34_92_mm_depth,,Hardware Bearing 5300 Series 5307 Size 35 mm ID 80 mm OD 34 92 mm Depth,bearing,35_mm_id_80_mm_od_34_92_mm_depth,,,,,,,
hardware_bearing_5300_series_5308_size_40_mm_id_90_mm_od_36_51_mm_depth,,Hardware Bearing 5300 Series 5308 Size 40 mm ID 90 mm OD 36 51 mm Depth,bearing,40_mm_id_90_mm_od_36_51_mm_depth,,,,,,,
hardware_bearing_5300_series_5309_size_45_mm_id_100_mm_od_39_68_mm_depth,,Hardware Bearing 5300 Series 5309 Size 45 mm ID 100 mm OD 39 68 mm Depth,bearing,45_mm_id_100_mm_od_39_68_mm_depth,,,,,,,
hardware_bearing_5300_series_5310_size_50_mm_id_110_mm_od_44_45_mm_depth,,Hardware Bearing 5300 Series 5310 Size 50 mm ID 110 mm OD 44 45 mm Depth,bearing,50_mm_id_110_mm_od_44_45_mm_depth,,,,,,,
hardware_bearing_5300_series_5311_size_55_mm_id_120_mm_od_49_21_mm_depth,,Hardware Bearing 5300 Series 5311 Size 55 mm ID 120 mm OD 49 21 mm Depth,bearing,55_mm_id_120_mm_od_49_21_mm_depth,,,,,,,
hardware_bearing_5300_series_5312_size_60_mm_id_130_mm_od_53_97_mm_depth,,Hardware Bearing 5300 Series 5312 Size 60 mm ID 130 mm OD 53 97 mm Depth,bearing,60_mm_id_130_mm_od_53_97_mm_depth,,,,,,,
hardware_bearing_5300_series_5313_size_65_mm_id_140_mm_od_58_73_mm_depth,,Hardware Bearing 5300 Series 5313 Size 65 mm ID 140 mm OD 58 73 mm Depth,bearing,65_mm_id_140_mm_od_58_73_mm_depth,,,,,,,
hardware_bearing_5300_series_5314_size_70_mm_id_150_mm_od_63_5_mm_depth,,Hardware Bearing 5300 Series 5314 Size 70 mm ID 150 mm OD 63 5 mm Depth,bearing,70_mm_id_150_mm_od_63_5_mm_depth,,,,,,,
hardware_bearing_5300_series_5315_size_75_mm_id_160_mm_od_68_26_mm_depth,,Hardware Bearing 5300 Series 5315 Size 75 mm ID 160 mm OD 68 26 mm Depth,bearing,75_mm_id_160_mm_od_68_26_mm_depth,,,,,,,
hardware_bearing_5300_series_5316_size_80_mm_id_170_mm_od_68_26_mm_depth,,Hardware Bearing 5300 Series 5316 Size 80 mm ID 170 mm OD 68 26 mm Depth,bearing,80_mm_id_170_mm_od_68_26_mm_depth,,,,,,,
hardware_bearing_6000_series_6000_size_10_mm_id_26_mm_od_8_mm_depth,,Hardware Bearing 6000 Series 6000 Size 10 mm ID 26 mm OD 8 mm Depth,bearing,10_mm_id_26_mm_od_8_mm_depth,,,,,,,
hardware_bearing_6000_series_6001_size_12_mm_id_28_mm_od_8_mm_depth,,Hardware Bearing 6000 Series 6001 Size 12 mm ID 28 mm OD 8 mm Depth,bearing,12_mm_id_28_mm_od_8_mm_depth,,,,,,,
hardware_bearing_6000_series_6002_size_15_mm_id_32_mm_od_9_mm_depth,,Hardware Bearing 6000 Series 6002 Size 15 mm ID 32 mm OD 9 mm Depth,bearing,15_mm_id_32_mm_od_9_mm_depth,,,,,,,
hardware_bearing_6000_series_6003_size_17_mm_id_35_mm_od_10_mm_depth,,Hardware Bearing 6000 Series 6003 Size 17 mm ID 35 mm OD 10 mm Depth,bearing,17_mm_id_35_mm_od_10_mm_depth,,,,,,,
hardware_bearing_6000_series_6004_size_20_mm_id_42_mm_od_12_mm_depth,,Hardware Bearing 6000 Series 6004 Size 20 mm ID 42 mm OD 12 mm Depth,bearing,20_mm_id_42_mm_od_12_mm_depth,,,,,,,
hardware_bearing_6000_series_6005_size_25_mm_id_47_mm_od_12_mm_depth,,Hardware Bearing 6000 Series 6005 Size 25 mm ID 47 mm OD 12 mm Depth,bearing,25_mm_id_47_mm_od_12_mm_depth,,,,,,,
hardware_bearing_6000_series_6006_size_30_mm_id_55_mm_od_13_mm_depth,,Hardware Bearing 6000 Series 6006 Size 30 mm ID 55 mm OD 13 mm Depth,bearing,30_mm_id_55_mm_od_13_mm_depth,,,,,,,
hardware_bearing_6000_series_6007_size_35_mm_id_62_mm_od_14_mm_depth,,Hardware Bearing 6000 Series 6007 Size 35 mm ID 62 mm OD 14 mm Depth,bearing,35_mm_id_62_mm_od_14_mm_depth,,,,,,,
hardware_bearing_6000_series_6008_size_40_mm_id_68_mm_od_15_mm_depth,,Hardware Bearing 6000 Series 6008 Size 40 mm ID 68 mm OD 15 mm Depth,bearing,40_mm_id_68_mm_od_15_mm_depth,,,,,,,
hardware_bearing_6000_series_6009_size_45_mm_id_75_mm_od_16_mm_depth,,Hardware Bearing 6000 Series 6009 Size 45 mm ID 75 mm OD 16 mm Depth,bearing,45_mm_id_75_mm_od_16_mm_depth,,,,,,,
hardware_bearing_6000_series_6010_size_50_mm_id_80_mm_od_16_mm_depth,,Hardware Bearing 6000 Series 6010 Size 50 mm ID 80 mm OD 16 mm Depth,bearing,50_mm_id_80_mm_od_16_mm_depth,,,,,,,
hardware_bearing_6000_series_6011_size_55_mm_id_90_mm_od_18_mm_depth,,Hardware Bearing 6000 Series 6011 Size 55 mm ID 90 mm OD 18 mm Depth,bearing,55_mm_id_90_mm_od_18_mm_depth,,,,,,,
hardware_bearing_6000_series_6012_size_60_mm_id_95_mm_od_18_mm_depth,,Hardware Bearing 6000 Series 6012 Size 60 mm ID 95 mm OD 18 mm Depth,bearing,60_mm_id_95_mm_od_18_mm_depth,,,,,,,
hardware_bearing_6000_series_6013_size_65_mm_id_100_mm_od_18_mm_depth,,Hardware Bearing 6000 Series 6013 Size 65 mm ID 100 mm OD 18 mm Depth,bearing,65_mm_id_100_mm_od_18_mm_depth,,,,,,,
hardware_bearing_6000_series_6014_size_70_mm_id_110_mm_od_20_mm_depth,,Hardware Bearing 6000 Series 6014 Size 70 mm ID 110 mm OD 20 mm Depth,bearing,70_mm_id_110_mm_od_20_mm_depth,,,,,,,
hardware_bearing_6000_series_6015_size_75_mm_id_115_mm_od_20_mm_depth,,Hardware Bearing 6000 Series 6015 Size 75 mm ID 115 mm OD 20 mm Depth,bearing,75_mm_id_115_mm_od_20_mm_depth,,,,,,,
hardware_bearing_6000_series_6016_size_80_mm_id_125_mm_od_22_mm_depth,,Hardware Bearing 6000 Series 6016 Size 80 mm ID 125 mm OD 22 mm Depth,bearing,80_mm_id_125_mm_od_22_mm_depth,,,,,,,
hardware_bearing_6000_series_6017_size_85_mm_id_130_mm_od_22_mm_depth,,Hardware Bearing 6000 Series 6017 Size 85 mm ID 130 mm OD 22 mm Depth,bearing,85_mm_id_130_mm_od_22_mm_depth,,,,,,,
hardware_bearing_6000_series_6018_size_90_mm_id_140_mm_od_24_mm_depth,,Hardware Bearing 6000 Series 6018 Size 90 mm ID 140 mm OD 24 mm Depth,bearing,90_mm_id_140_mm_od_24_mm_depth,,,,,,,
hardware_bearing_6000_series_6019_size_95_mm_id_145_mm_od_24_mm_depth,,Hardware Bearing 6000 Series 6019 Size 95 mm ID 145 mm OD 24 mm Depth,bearing,95_mm_id_145_mm_od_24_mm_depth,,,,,,,
hardware_bearing_6000_series_6020_size_100_mm_id_150_mm_od_24_mm_depth,,Hardware Bearing 6000 Series 6020 Size 100 mm ID 150 mm OD 24 mm Depth,bearing,100_mm_id_150_mm_od_24_mm_depth,,,,,,,
hardware_bearing_6000_series_6021_size_105_mm_id_160_mm_od_26_mm_depth,,Hardware Bearing 6000 Series 6021 Size 105 mm ID 160 mm OD 26 mm Depth,bearing,105_mm_id_160_mm_od_26_mm_depth,,,,,,,
hardware_bearing_6000_series_6022_size_110_mm_id_170_mm_od_28_mm_depth,,Hardware Bearing 6000 Series 6022 Size 110 mm ID 170 mm OD 28 mm Depth,bearing,110_mm_id_170_mm_od_28_mm_depth,,,,,,,
hardware_bearing_6000_series_6024_size_120_mm_id_180_mm_od_28_mm_depth,,Hardware Bearing 6000 Series 6024 Size 120 mm ID 180 mm OD 28 mm Depth,bearing,120_mm_id_180_mm_od_28_mm_depth,,,,,,,
hardware_bearing_6000_series_6026_size_130_mm_id_200_mm_od_33_mm_depth,,Hardware Bearing 6000 Series 6026 Size 130 mm ID 200 mm OD 33 mm Depth,bearing,130_mm_id_200_mm_od_33_mm_depth,,,,,,,
hardware_bearing_6000_series_6028_size_140_mm_id_210_mm_od_33_mm_depth,,Hardware Bearing 6000 Series 6028 Size 140 mm ID 210 mm OD 33 mm Depth,bearing,140_mm_id_210_mm_od_33_mm_depth,,,,,,,
hardware_bearing_6000_series_6030_size_150_mm_id_225_mm_od_35_mm_depth,,Hardware Bearing 6000 Series 6030 Size 150 mm ID 225 mm OD 35 mm Depth,bearing,150_mm_id_225_mm_od_35_mm_depth,,,,,,,
hardware_bearing_600_series_603_size_3_mm_id_9_mm_od_5_mm_depth,,Hardware Bearing 600 Series 603 Size 3 mm ID 9 mm OD 5 mm Depth,bearing,3_mm_id_9_mm_od_5_mm_depth,,,,,,,
hardware_bearing_600_series_604_size_4_mm_id_12_mm_od_4_mm_depth,,Hardware Bearing 600 Series 604 Size 4 mm ID 12 mm OD 4 mm Depth,bearing,4_mm_id_12_mm_od_4_mm_depth,,,,,,,
hardware_bearing_600_series_605_size_5_mm_id_14_mm_od_5_mm_depth,,Hardware Bearing 600 Series 605 Size 5 mm ID 14 mm OD 5 mm Depth,bearing,5_mm_id_14_mm_od_5_mm_depth,,,,,,,
hardware_bearing_600_series_606_size_6_mm_id_17_mm_od_6_mm_depth,,Hardware Bearing 600 Series 606 Size 6 mm ID 17 mm OD 6 mm Depth,bearing,6_mm_id_17_mm_od_6_mm_depth,,,,,,,
hardware_bearing_600_series_607_size_7_mm_id_19_mm_od_6_mm_depth,,Hardware Bearing 600 Series 607 Size 7 mm ID 19 mm OD 6 mm Depth,bearing,7_mm_id_19_mm_od_6_mm_depth,,,,,,,
hardware_bearing_600_series_608_size_8_mm_id_22_mm_od_7_mm_depth,,Hardware Bearing 600 Series 608 Size 8 mm ID 22 mm OD 7 mm Depth,bearing,8_mm_id_22_mm_od_7_mm_depth,,,,,,,
hardware_bearing_600_series_609_size_9_mm_id_24_mm_od_7_mm_depth,,Hardware Bearing 600 Series 609 Size 9 mm ID 24 mm OD 7 mm Depth,bearing,9_mm_id_24_mm_od_7_mm_depth,,,,,,,
hardware_bearing_600_series_623_size_3_mm_id_10_mm_od_4_mm_depth,,Hardware Bearing 600 Series 623 Size 3 mm ID 10 mm OD 4 mm Depth,bearing,3_mm_id_10_mm_od_4_mm_depth,,,,,,,
hardware_bearing_600_series_624_size_4_mm_id_13_mm_od_5_mm_depth,,Hardware Bearing 600 Series 624 Size 4 mm ID 13 mm OD 5 mm Depth,bearing,4_mm_id_13_mm_od_5_mm_depth,,,,,,,
hardware_bearing_600_series_625_size_5_mm_id_16_mm_od_5_mm_depth,,Hardware Bearing 600 Series 625 Size 5 mm ID 16 mm OD 5 mm Depth,bearing,5_mm_id_16_mm_od_5_mm_depth,,,,,,,
hardware_bearing_600_series_626_size_6_mm_id_19_mm_od_6_mm_depth,,Hardware Bearing 600 Series 626 Size 6 mm ID 19 mm OD 6 mm Depth,bearing,6_mm_id_19_mm_od_6_mm_depth,,,,,,,
hardware_bearing_600_series_627_size_7_mm_id_22_mm_od_7_mm_depth,,Hardware Bearing 600 Series 627 Size 7 mm ID 22 mm OD 7 mm Depth,bearing,7_mm_id_22_mm_od_7_mm_depth,,,,,,,
hardware_bearing_600_series_628_size_8_mm_id_24_mm_od_8_mm_depth,,Hardware Bearing 600 Series 628 Size 8 mm ID 24 mm OD 8 mm Depth,bearing,8_mm_id_24_mm_od_8_mm_depth,,,,,,,
hardware_bearing_600_series_629_size_9_mm_id_26_mm_od_8_mm_depth,,Hardware Bearing 600 Series 629 Size 9 mm ID 26 mm OD 8 mm Depth,bearing,9_mm_id_26_mm_od_8_mm_depth,,,,,,,
hardware_bearing_600_series_633_size_3_mm_id_13_mm_od_5_mm_depth,,Hardware Bearing 600 Series 633 Size 3 mm ID 13 mm OD 5 mm Depth,bearing,3_mm_id_13_mm_od_5_mm_depth,,,,,,,
